Titre;Réalisateur;Adresse;Organisme Demandeur;Type de tournage;Arrondissement;Date debut;Date fin;xy
KIM-KONG;STEPHEN CAFIERO;9  PLACE  D'IENA;KWAI;SERIE TELEVISEE;75016;2016-11-19;2016-11-19;48.864215, 2.292995
QU'EST-CE QU'ON ATTEND POUR ETRE HEUREUX;ANNE GIAFFERI;3 ET 5  RUE  MEISSONNIER;GAZELLE ET CIE;SERIE TELEVISEE;75017;2016-11-21;2016-11-21;48.883108, 2.304309
THE WAY;CAMILLE DELAMARRE;48  RUE  DE COURCELLES;EMPREINTE DIGITALE;SERIE TELEVISEE;75008;2016-11-23;2016-11-23;48.876686, 2.307707
MERE ET FILLE;STEPHANE MARELLI;6  RUE  SAINT MAUR;J2F PRODUCTION;SERIE TELEVISEE;75011;2016-11-24;2016-11-24;48.859003, 2.383318
MUNCH;NICOLAS GUICHETEAU;RUE  JEAN DOLENT;EXILENE FILMS;SERIE TELEVISEE;75014;2016-11-25;2016-11-25;48.833576, 2.338651
LE BUREAU DES LEGENDES/SAISON 2;ERIC ROCHANT;54  AVENUE  MARCEAU;THE OLIGARCHS PRODUCTIONS;SERIE TELEVISEE;75008;2016-11-25;2016-11-25;48.869527, 2.298644
ALICE NEVERS LE JUGE EST UNE FEMME/86 ET 87;CHRISTOPHE DELPIAS;22  RUE  DES BELLES FEUILLES;EGO PRODUCTION;SERIE TELEVISEE;75016;2016-11-25;2016-11-25;48.866739, 2.282226
THE AFFAIR;JEFFREY REINER;RUE  DES TROIS FRERES/RUE YVONNE LE TAC;GEM FILMS;SERIE TELEVISEE;75018;2016-11-30;2016-11-30;48.884112, 2.340082
MUNCH;NICOLAS GUICHETEAU;42  RUE  SCHEFFER;EXILENE FILMS;SERIE TELEVISEE;75016;2016-12-02;2016-12-02;48.862499, 2.28159
ALICE NEVERS LE JUGE EST UNE FEMME/86 ET 87;CHRISTOPHE DELPIAS;RUE  DE HARLAY;EGO PRODUCTION;SERIE TELEVISEE;75001;2016-12-02;2016-12-02;48.856701, 2.343164
THE AFFAIR;JEFFREY REINER;7  RUE  DU BOURG L'ABBE;GEM FILMS;SERIE TELEVISEE;75003;2016-12-07;2016-12-07;48.863922, 2.351998
THE AFFAIR;JEFFREY REINER;4  RUE  DES BELLES FEUILLES;GEM FILMS;SERIE TELEVISEE;75016;2016-12-08;2016-12-08;48.865872, 2.283046
LIANG SHENG;LIU CHUN-CHIEN;PLACE  ET RUE DE FURSTEMBEG;KANZAMAN FRANCE;SERIE TELEVISEE;75006;2016-12-11;2016-12-11;48.848597, 2.328205
LIANG SHENG;LIU CHUN-CHIEN;RUE  DU BEARN;KANZAMAN FRANCE;SERIE TELEVISEE;75003;2016-12-11;2016-12-11;48.857298, 2.366075
LIANG SHENG;LIU CHUN-CHIEN;177  BOULEVARD  SAINT GERMAIN;KANZAMAN FRANCE;SERIE TELEVISEE;75006;2016-12-12;2016-12-12;48.852798, 2.336771
LIANG SHENG;LIU CHUN-CHIEN;PLACE  DE LA CONCORDE;KANZAMAN FRANCE;SERIE TELEVISEE;75008;2016-12-12;2016-12-12;48.867065, 2.321877
ENGRENAGES SAISON 6/N° 7 A 12;FREDERIC MERMOUD;HOTEL  DIEU/1 PLACE DU PARVIS NOTRE DAME;SON ET LUMIERE;SERIE TELEVISEE;75004;2016-12-13;2016-12-14;48.854342, 2.347729
LIANG SHENG;LIU CHUN-CHIEN;QUAI  BRANLY;KANZAMAN FRANCE;SERIE TELEVISEE;75007;2016-12-14;2016-12-14;48.861511, 2.29771
FRACTAL;JEREMY MINUI;10  RUE  SAINT BERNARD;MIDNIGHT CUT;SERIE TELEVISEE;75011;2016-12-15;2016-12-15;48.851097, 2.381639
MUNCH;NICOLAS GUICHETEAU;PLACE  PIGALLE;EXILENE FILMS;SERIE TELEVISEE;75009;2016-12-22;2016-12-22;48.881961, 2.337346
CHRONIQUES PARISIENNES;ZABOU BREITMAN;PLACE  DE LA CONCORDE;LES FILMS DU KIOSQUE;SERIE TELEVISEE;75008;2016-12-29;2016-12-29;48.867065, 2.321877
FILLES D'AUJOURD'HUI;THEODORE BONNET;139  RUE  PELLEPORT;STUDIO BAGEL PRODUCTIONS;TELEFILM;75020;2016-01-20;2016-01-20;48.873045, 2.39779
COUP DE FOUDRE A JAIPUR;ARNAULD MERCADIER;RUE  DU GENERAL FOY;BIG BAND STORY;TELEFILM;75008;2016-03-31;2016-03-31;48.878822, 2.317688
COUP DE FOUDRE A JAIPUR;ARNAULD MERCADIER;AVENUE  CESAR CAIRE;BIG BAND STORY;TELEFILM;75008;2016-03-31;2016-03-31;48.87654, 2.319594
NADIA;LEA MAZER;58  RUE  PICPUS;MURMURES PRODUCTIONS;TELEFILM;75012;2016-04-11;2016-04-11;48.843372, 2.396801
NADIA;LEA MAZER;11  RUE  CHARDON LAGACHE;MURMURES PRODUCTIONS;TELEFILM;75016;2016-04-14;2016-04-14;48.844977, 2.26667
LA BETE CURIEUSE;LAURENT PERREAU;2  RUE  PAUL BODIN/CAFE LE PARI'S;EX NIHILO;TELEFILM;75017;2016-04-25;2016-04-25;48.892518, 2.317307
NADIA;LEA MAZER;49  BOULEVARD  PICPUS;MURMURES PRODUCTIONS;TELEFILM;75012;2016-04-26;2016-04-29;48.844469, 2.401759
NADIA;LEA MAZER;69  AVENUE  DE SAINT MANDE;MURMURES PRODUCTIONS;TELEFILM;75012;2016-05-02;2016-05-02;48.844773, 2.40503
LA BETE CURIEUSE;LAURENT PERREAU;8  RUE  D'ARCOLE;EX NIHILO;TELEFILM;75004;2016-05-09;2016-05-09;48.854031, 2.34943
LA BETE CURIEUSE;LAURENT PERREAU;4  AVENUE  FELIX FAURE;EX NIHILO;TELEFILM;75015;2016-05-12;2016-05-12;48.842643, 2.291367
LE MEC DE LA TOMBE D'A COTE;AGNES OBDIA;5  RUE  DE CHAILLOT/CABINET D'AVOCATS;3EME OEIL STORY;TELEFILM;75016;2016-08-01;2016-08-01;48.866144, 2.296045
UNE FEMME D'EXCEPTION;ERIC GUIRADO;100  AVENUE  DE SAINT OUEN (TOIT IMMEUBLE);CINETEVE;TELEFILM;75017;2016-08-16;2016-08-16;
UNE FEMME D'EXCEPTION;ERIC GUIRADO;2/4  RUE  DU PASTEUR MARC BOEGNER;CINETEVE;TELEFILM;75016;2016-09-07;2016-09-07;48.863101, 2.281289
UNE FEMME D'EXCEPTION;ERIC GUIRADO;RUE  REBEVAL;CINETEVE;TELEFILM;75019;2016-09-08;2016-09-08;48.874714, 2.379881
LOVE LOCKS;MARTIN WOOD;AVENUE  WINSTON CHURCHILL;LES FILMS DU MARIGOT;TELEFILM;75008;2016-11-28;2016-11-28;48.86609, 2.313763
LOVE LOCKS;MARTIN WOOD;JARDIN*  DU THEATRE DU ROND POINT;LES FILMS DU MARIGOT;TELEFILM;75008;2016-11-28;2016-11-28;
LOVE LOCKS;MARTIN WOOD;PLACE  DE LA CONCORDE;LES FILMS DU MARIGOT;TELEFILM;75008;2016-11-28;2016-11-28;48.867065, 2.321877
LOVE LOCKS;MARTIN WOOD;PLACE  DE L'INSTITUT DE FRANCE;LES FILMS DU MARIGOT;TELEFILM;75006;2016-11-29;2016-11-29;48.850038, 2.33855
LOVE LOCKS;MARTIN WOOD;QUAI  DES ORFEVRES;LES FILMS DU MARIGOT;TELEFILM;75001;2016-11-29;2016-11-29;48.856182, 2.342193
LOVE LOCKS;MARTIN WOOD;PLACE  DE L'INSTITUT DE FRANCE;LES FILMS DU MARIGOT;TELEFILM;75006;2016-11-30;2016-11-30;48.850038, 2.33855
LOVE LOCKS;MARTIN WOOD;QUAI  MALAQUAIS;LES FILMS DU MARIGOT;TELEFILM;75006;2016-11-30;2016-11-30;48.857914, 2.334555
LOVE LOCKS;MARTIN WOOD;RUE  DE HARLAY;LES FILMS DU MARIGOT;TELEFILM;75001;2016-11-30;2016-11-30;48.856701, 2.343164
LOVE LOCKS;MARTIN WOOD;QUAI  DE MONTEBELLO;LES FILMS DU MARIGOT;TELEFILM;75006;2016-12-01;2016-12-01;48.856967, 2.338244
LE BUREAU DES LEGENDES/SAISON 2 N°1 A 8;ERIC ROCHANT;116  AVENUE  DU PRESIDENT KENNEDY (RADIO FRANCE);THE OLIGARCHS PRODUCTIONS;SERIE TELEVISEE;75016;2016-01-09;2016-01-09;48.85214, 2.279515
NOIR ENIGMA;MANUEL BOURSINHAC;PLACE  ANDRE HONNORAT;ASTHARTE ET COMPAGNIE;SERIE TELEVISEE;75006;2016-01-09;2016-01-09;48.853938, 2.339136
NOIR ENIGMA;MANUEL BOURSINHAC;RUE  AUGUSTE COMTE;ASTHARTE ET COMPAGNIE;SERIE TELEVISEE;75006;2016-01-09;2016-01-09;48.844249, 2.336289
NOIR ENIGMA;MANUEL BOURSINHAC;AVENUE  DE L'OBSERVATOIRE;ASTHARTE ET COMPAGNIE;SERIE TELEVISEE;75006;2016-01-09;2016-01-09;48.842179, 2.33752
NOIR ENIGMA;MANUEL BOURSINHAC;PLACE  DU PANTHEON;ASTHARTE ET COMPAGNIE;SERIE TELEVISEE;75005;2016-01-09;2016-01-09;48.845716, 2.345984
NOIR ENIGMA;MANUEL BOURSINHAC;RUE  CLOTAIRE;ASTHARTE ET COMPAGNIE;SERIE TELEVISEE;75005;2016-01-09;2016-01-09;48.845626, 2.344708
ALICE NEVERS, LE JUGE EST UNE FEMME/N°78 ET 79;J.CHRISTOPHE DELPIAS;6  PASSAGE  THIERE/MELTDOWN;EGO PRODUCTION;SERIE TELEVISEE;75011;2016-01-12;2016-01-12;48.853504, 2.374701
NOIR ENIGMA;MANUEL BOURSINHAC;PLACE  DE L'ESTRAPADE;ASTHARTE ET COMPAGNIE;SERIE TELEVISEE;75005;2016-01-15;2016-01-15;48.845058, 2.345069
LE BUREAU DES LEGENDES/SAISON 2 N°1 A 8;ERIC ROCHANT;117  RUE  SAINT LAZARE;THE OLIGARCHS PRODUCTIONS;SERIE TELEVISEE;75008;2016-01-18;2016-01-18;48.875315, 2.325696
LES HOMMES DE L'OMBRE;FRED GARSON;21  RUE  DE TANGER;MACONDO;SERIE TELEVISEE;75019;2016-02-03;2016-02-04;48.885891, 2.368397
VENERATION;MARJORY DEJARDIN;102BIS  RUE  DE BAGNOLET;CMP MOVIES;SERIE TELEVISEE;75020;2016-02-11;2016-02-11;48.859546, 2.402968
LES HOMMES DE L'OMBRE;FRED GARSON;41  RUE  DE CHAZELLES;MACONDO;SERIE TELEVISEE;75017;2016-02-12;2016-02-12;48.880924, 2.306182
VENERATION;MARJORY DEJARDIN;RUE  DES TERROIRS DE FRANCE;CMP MOVIES;SERIE TELEVISEE;75012;2016-02-12;2016-02-12;
L'AMANT D'UN JOUR;PHILIPPE GARREL;70  BOULEVARD  SERRURIER;SBS FILMS;LONG METRAGE;75019;2016-07-21;2016-07-21;48.881712, 2.39652
EMBRASSE MOI;CYPRIEN VIAL;RUE  SAINT VICTOR;NOLITA CINEMA;LONG METRAGE;75005;2016-07-22;2016-07-22;48.848256, 2.351156
BAD BUZZ;STEPHANE KAZANDJIAN;80  BOULEVARD  DE ROCHECHOUART;ECHO FILMS;LONG METRAGE;75018;2016-07-25;2016-07-25;48.882841, 2.343165
TELLE MERE TELLE FILLE;NOEMIE SAGLIO;15  RUE  RENE BOULANGER;PAN EUROPENNE PRODUCTION;LONG METRAGE;75010;2016-07-28;2016-07-28;48.869212, 2.357321
MARVIN;ANNE FONTAINE;37  BOULEVARD  DE LA CHAPELLE;CINE @;LONG METRAGE;75018;2016-07-29;2016-07-29;48.884395, 2.355889
LA MELODIE;RACHID HAMI;7  RUE  JEAN QUARRE/COLLEGE GUILLAUME BUDE;MIZAR FILMS;LONG METRAGE;75019;2016-08-01;2016-08-05;48.87683, 2.396256
LE RIRE DE MA MERE;COLOMBE SAVIGNAC;RUE  RENE GOSCINNY;LOMA NASHA PRODUCTION;LONG METRAGE;75013;2016-08-02;2016-08-03;48.830422, 2.379593
LE RIRE DE MA MERE;COLOMBE SAVIGNAC;6  RUE  THOMAS MANN/UNIVERSITE DE CHICAGO;LOMA NASHA PRODUCTION;LONG METRAGE;75013;2016-08-02;2016-08-02;48.830397, 2.381034
LE REDOUTABLE;MICHEL HAZANAVICIUS;RUE  JEAN BAPTISTE SAY;LES COMPAGNONS DU CINEMA;LONG METRAGE;75009;2016-08-03;2016-08-03;48.881392, 2.341645
LE REDOUTABLE;MICHEL HAZANAVICIUS;RUE  BROCHART DE SARON;LES COMPAGNONS DU CINEMA;LONG METRAGE;75009;2016-08-03;2016-08-03;48.881416, 2.342473
TELLE MERE TELLE FILLE;NOEMIE SAGLIO;28  RUE  AMPERE;PAN EUROPENNE PRODUCTION;LONG METRAGE;75017;2016-08-05;2016-08-05;48.885286, 2.303643
LE RIRE DE MA MERE;COLOMBE SAVIGNAC;SQUARE  JACQUES BIDAUT;LOMA NASHA PRODUCTION;LONG METRAGE;75002;2016-08-05;2016-08-05;
L'EMBARRAS DU CHOIX;ERIC DELAVAINE;5  BOULEVARD  DES ITALIENS/SALLE DE JEUX;SOMBRERO PRODUCTIONS;LONG METRAGE;75002;2016-08-05;2016-08-05;48.871683, 2.339175
L'EMBARRAS DU CHOIX;ERIC DELAVAINE;12  RUE  FEYDEAU/PUB LE TRUSKEL;SOMBRERO PRODUCTIONS;LONG METRAGE;75002;2016-08-05;2016-08-05;48.870076, 2.341326
LE REDOUTABLE;MICHEL HAZANAVICIUS;32  RUE  SAINT MARC/LES LYONNAIS;LES COMPAGNONS DU CINEMA;LONG METRAGE;75002;2016-08-05;2016-08-05;48.870723, 2.338692
LES CARNIVORES;JEREMIE RENIER;AVENUE  DE FRANCE;CHI FOU MI PRODUCTIONS;LONG METRAGE;75013;2016-08-08;2016-08-08;48.830712, 2.376812
LES CARNIVORES;JEREMIE RENIER;RUE  WATT ET SOUTERRAIN;CHI FOU MI PRODUCTIONS;LONG METRAGE;75013;2016-08-08;2016-08-08;48.828061, 2.382466
GANGSTERDAM;ROMAIN LEVY;49  RUE  PONTHIEU;LES PRODUCTIONS DU TRESOR;LONG METRAGE;75008;2016-08-08;2016-08-08;48.871688, 2.306111
L'EMBARRAS DU CHOIX;ERIC DELAVAINE;15  AVENUE  MONTAIGNE/LE MANKO;SOMBRERO PRODUCTIONS;LONG METRAGE;75008;2016-08-09;2016-08-09;48.865596, 2.30344
L'EMBARRAS DU CHOIX;ERIC DELAVAINE;PONT  DE LA TOURNELLE;SOMBRERO PRODUCTIONS;LONG METRAGE;75005;2016-08-09;2016-08-09;48.850009, 2.355297
L'EMBARRAS DU CHOIX;ERIC DELAVAINE;PONT  DE L'ARCHEVECHE;SOMBRERO PRODUCTIONS;LONG METRAGE;75004;2016-08-09;2016-08-09;48.852216, 2.352057
LA VIE DE CHATEAU;CEDRIC IDO;BOULEVARD  DE STRASBOURG N°61/62,40/42,51;SRAB FILMS;LONG METRAGE;75010;2016-08-09;2016-08-11;48.872684, 2.355912
MARIAGE BLANC;TAREK BOUDALI;11  RUE  DES TAILLANDIERS;AXEL FILMS;LONG METRAGE;75011;2016-08-10;2016-08-11;48.854104, 2.375256
LE REDOUTABLE;MICHEL HAZANAVICIUS;76  RUE  DE RENNES/CINEMA L'ARLEQUIN;LES COMPAGNONS DU CINEMA;LONG METRAGE;75006;2016-08-11;2016-08-11;48.851278, 2.330648
GANGSTERDAM;ROMAIN LEVY;63/73  RUE  NATIONALE;LES PRODUCTIONS DU TRESOR;LONG METRAGE;75013;2016-08-11;2016-08-12;48.826577, 2.366554
LES CARNIVORES;JEREMIE RENIER;51  RUE  DES ECOLES/LE CHAMPO;CHI FOU MI PRODUCTIONS;LONG METRAGE;75005;2016-08-12;2016-08-12;48.849983, 2.343211
LA VIE DE CHATEAU;CEDRIC IDO;PASSAGE  DE L'INDUSTRIE;SRAB FILMS;LONG METRAGE;75010;2016-08-12;2016-08-12;48.871276, 2.354444
MADAME;AMANDA STHERS;16  RUE  DE LA FAISANDERIE (MUSEE CONTREFACON);LGM FILMS;LONG METRAGE;75016;2016-08-15;2016-08-15;48.87016, 2.276762
LA VIE DE CHATEAU;CEDRIC IDO;RUE  NICOLAS APPERT;SRAB FILMS;LONG METRAGE;75011;2016-08-15;2016-08-16;48.858913, 2.370385
LES FILLES DE REIMS;JULIEN HALLARD;TERRAIN*  N°1/30 RUE LOUIS LUMIERE;LES FILMS VELVET;LONG METRAGE;75020;2016-08-16;2016-08-18;48.859198, 2.411644
GANGSTERDAM;ROMAIN LEVY;PLACE  HENRY MONTHERLANT;LES PRODUCTIONS DU TRESOR;LONG METRAGE;75007;2016-08-16;2016-08-16;48.861971, 2.307389
LA DOULEUR;EMMANUEL FINKIEL;PLACE  JOFFRE;LES FILMS DU POISSON;LONG METRAGE;75007;2016-08-16;2016-08-16;48.852647, 2.303246
LA DOULEUR;EMMANUEL FINKIEL;RUE  DE L'UNIVERSITE;LES FILMS DU POISSON;LONG METRAGE;75007;2016-08-16;2016-08-16;48.860861, 2.315207
JOUR J;REEM KHERICI;PLACE  LOUIS ARMAND;MANDARIN FILMS;LONG METRAGE;75012;2016-08-18;2016-08-18;48.845539, 2.374032
LA VIE DE CHATEAU;CEDRIC IDO;7  RUE  DE JARRY;SRAB FILMS;LONG METRAGE;75010;2016-08-18;2016-08-18;48.873972, 2.355905
LE REDOUTABLE;MICHEL HAZANAVICIUS;RUE  CRILLON;LES COMPAGNONS DU CINEMA;LONG METRAGE;75004;2016-08-19;2016-08-19;48.849125, 2.365551
CA C'EST LA FAMILLE;TEDDY LUSSI MODESTE;64  RUE  MONCEAU;KAZAK PRODUCTIONS;LONG METRAGE;75008;2016-08-19;2016-08-19;48.878738, 2.313015
THIRST STREET;NATHAN SILVER;21 AU 55  RUE  GASTON DE CAILLAVET;IN VIVO FILMS;LONG METRAGE;75015;2016-08-23;2016-08-23;48.849317, 2.284044
THIRST STREET;NATHAN SILVER;2 AU 19  RUE  DU THEATRE;IN VIVO FILMS;LONG METRAGE;75015;2016-08-23;2016-08-23;48.849693, 2.286013
LE REDOUTABLE;MICHEL HAZANAVICIUS;CENTRE  MORLAND/SALLES 1030/2044 ET 2048;LES COMPAGNONS DU CINEMA;LONG METRAGE;75004;2016-08-24;2016-08-24;48.84726, 2.365669
CA C'EST LA FAMILLE;TEDDY LUSSI MODESTE;45  RUE  DE CLIGNANCOURT;KAZAK PRODUCTIONS;LONG METRAGE;75008;2016-08-24;2016-08-24;48.876176, 2.307901
LA DOULEUR;EMMANUEL FINKIEL;RUE  DE LISBONNE;LES FILMS DU POISSON;LONG METRAGE;75008;2016-08-24;2016-08-24;48.877578, 2.312688
LA VIE DE CHATEAU;CEDRIC IDO;21/55  BOULEVARD  DE STRASBOURG;SRAB FILMS;LONG METRAGE;75010;2016-08-25;2016-08-25;48.872852, 2.356006
MARIAGE BLANC;TAREK BOUDALI;RUE  DES HOSPITALIERES SAINT GERVAIS;AXEL FILMS;LONG METRAGE;75004;2016-08-25;2016-08-25;48.857943, 2.358936
CA C'EST LA FAMILLE;TEDDY LUSSI MODESTE;15  RUE  PRINCESSE;KAZAK PRODUCTIONS;LONG METRAGE;75006;2016-08-25;2016-08-25;48.852046, 2.334578
THIRST STREET;NATHAN SILVER;17 AU 35  QUAI  VOLTAIRE;IN VIVO FILMS;LONG METRAGE;75007;2016-08-25;2016-08-25;48.859434, 2.329428
THIRST STREET;NATHAN SILVER;22 AU 70  RUE  SAINT ANDRE DES ARTS;IN VIVO FILMS;LONG METRAGE;75006;2016-08-25;2016-08-25;48.85365, 2.33872
LES FILLES DE REIMS;JULIEN HALLARD;TERRAIN*  N°1/30 RUE LOUIS LUMIERE;LES FILMS VELVET;LONG METRAGE;75020;2016-08-26;2016-08-26;48.859198, 2.411644
JOUR J;REEM KHERICI;50  ROUTE  DES ETANGS/PAVILLON DES ETANGS;MANDARIN FILMS;LONG METRAGE;75016;2016-08-26;2016-08-27;
JOUR J;REEM KHERICI;50  ROUTE  DE L'ETOILE/PAVILLON DES ETANGS;MANDARIN FILMS;LONG METRAGE;75016;2016-08-26;2016-08-27;
MARVIN;ANNE FONTAINE;BOULEVARD  DE STRASBOURG;CINE @;LONG METRAGE;75010;2016-08-26;2016-08-26;48.872684, 2.355912
LES EX;MAURICE BARTHELEMY;16  RUE  DEMARQUAY;RADAR FILMS;LONG METRAGE;75010;2016-08-26;2016-08-26;48.881155, 2.358818
ON THE FRENCH RIVIERA;ALAN SWYER;PLACE  DAUPHINE;BELLE EPOQUE FILMS;LONG METRAGE;75001;2016-08-28;2016-08-28;48.856822, 2.342303
DIANE A LES EPAULES;FABIEN GORGEART;CIMETIERE*  PARISIEN D'IVRY;PETIT FILM;LONG METRAGE;94000;2016-08-29;2016-08-29;
MARVIN;ANNE FONTAINE;60  RUE  RENE BOULANGER;CINE @;LONG METRAGE;75010;2016-08-30;2016-08-30;48.868954, 2.35891
THIRST STREET;NATHAN SILVER;33  RUE  DULONG;IN VIVO FILMS;LONG METRAGE;75017;2016-08-31;2016-08-31;48.884551, 2.316894
LA DOULEUR;EMMANUEL FINKIEL;RUE  SAINT JACQUES;LES FILMS DU POISSON;LONG METRAGE;75005;2016-09-02;2016-09-02;48.844609, 2.342241
THIRST STREET;NATHAN SILVER;14/43  RUE  DULONG;IN VIVO FILMS;LONG METRAGE;75017;2016-09-03;2016-09-03;48.885227, 2.316246
LES FILLES DE REIMS;JULIEN HALLARD;5  RUE  MARBEUF;LES FILMS VELVET;LONG METRAGE;75008;2016-09-05;2016-09-05;48.867494, 2.30209
MARVIN;ANNE FONTAINE;10  RUE  DU SENTIER;CINE @;LONG METRAGE;75002;2016-09-05;2016-09-08;48.868821, 2.345782
CA C'EST LA FAMILLE;TEDDY LUSSI MODESTE;120  BOULEVARD  DE ROCHECHOUART;KAZAK PRODUCTIONS;LONG METRAGE;75018;2016-09-05;2016-09-05;48.8823, 2.340149
LA DOULEUR;EMMANUEL FINKIEL;63  RUE  SAINT LAZARE/HOTEL LANGLOIS;LES FILMS DU POISSON;LONG METRAGE;75009;2016-09-05;2016-09-06;48.876813, 2.33364
CA C'EST LA FAMILLE;TEDDY LUSSI MODESTE;2  RUE  BEAUBOURG;KAZAK PRODUCTIONS;LONG METRAGE;75004;2016-09-06;2016-09-06;48.860372, 2.353172
MARYLINE;GUILLAUME GALLIENNE;RUE  DES URSINS;LGM FILMS;LONG METRAGE;75004;2016-09-07;2016-09-07;48.85427, 2.35111
CA C'EST LA FAMILLE;TEDDY LUSSI MODESTE;1/3  RUE  CAMILLE BLAIZOT (TERRE-PLEIN);KAZAK PRODUCTIONS;LONG METRAGE;75017;2016-09-07;2016-09-07;48.899266, 2.32866
NOS ANNEES FOLLES;ANDRE TECHINE;17  QUAI  D'ANJOU/HOTEL DE LAUZUN;ARPROD;LONG METRAGE;75004;2016-09-07;2016-09-08;48.854811, 2.354243
THIRST STREET;NATHAN SILVER;34-14/43  RUE  DULONG;IN VIVO FILMS;LONG METRAGE;75017;2016-09-08;2016-09-08;48.885227, 2.316246
STARS 80 LA SUITE;THOMAS LANGMANN;RUE  DE BUCAREST;LA PETITE REINE;LONG METRAGE;75008;2016-09-08;2016-09-08;48.880616, 2.32607
STARS 80 LA SUITE;THOMAS LANGMANN;RUE  DE TURIN;LA PETITE REINE;LONG METRAGE;75008;2016-09-08;2016-09-08;48.881012, 2.32476
KO;FABRICE GOBERT;128  AVENUE  DE FRANCE;247 FILMS;LONG METRAGE;75013;2016-09-08;2016-09-08;48.831668, 2.376001
MARVIN;ANNE FONTAINE;BOULEVARD  SAINT GERMAIN (ANGLE RUE BONAPARTE);CINE @;LONG METRAGE;75006;2016-09-09;2016-09-09;48.853281, 2.333404
MARVIN;ANNE FONTAINE;QUAI  DES GRANDS AUGUSTINS;CINE @;LONG METRAGE;75006;2016-09-09;2016-09-09;48.854737, 2.342109
KO;FABRICE GOBERT;PONT  DE BERCY (SOUS LE METRO);247 FILMS;LONG METRAGE;75012;2016-09-09;2016-09-09;48.832325, 2.383423
STARS 80 LA SUITE;THOMAS LANGMANN;18  RUE  DE LA CONDAMINE;LA PETITE REINE;LONG METRAGE;75017;2016-09-12;2016-09-14;48.887474, 2.32368
LADIES;ANNE GAËLLE DAVAL;13  RUE  JACQUES LOUVEL TESSIER;NOLITA CINEMA;LONG METRAGE;75010;2016-09-12;2016-09-14;48.871181, 2.369656
120 BATTEMENTS PAR MINUTE;ROBIN CAMPILLO;RUE  EMILE GILBERT;LES FILMS DE PIERRE;LONG METRAGE;75012;2016-09-14;2016-09-14;48.846373, 2.373305
KO;FABRICE GOBERT;33  BOULEVARD  DE LA CHAPELLE;247 FILMS;LONG METRAGE;75010;2016-09-14;2016-09-15;48.884214, 2.360114
MARIAGE BLANC;TAREK BOUDALI;ALLEE  CELESTIN HENNION (MARCHE AUX FLEURS);AXEL FILMS;LONG METRAGE;75004;2016-09-15;2016-09-15;
MARIAGE BLANC;TAREK BOUDALI;53  RUE  VIEILLE DU TEMPLE;AXEL FILMS;LONG METRAGE;75004;2016-09-16;2016-09-16;48.858435, 2.358385
MARIAGE BLANC;TAREK BOUDALI;RUE  SAINTE CROIX DE LA BRETONNERIE;AXEL FILMS;LONG METRAGE;75004;2016-09-16;2016-09-16;48.858387, 2.355733
LE REDOUTABLE;MICHEL HAZANAVICIUS;46  RUE  SAINT JACQUES;LES COMPAGNONS DU CINEMA;LONG METRAGE;75005;2016-09-19;2016-09-19;48.849401, 2.34461
JUST DIVORCED;MAXIME GOVARE;BOIS*  DE BOULOGNE;LES IMPRODUCTIBLES;LONG METRAGE;75016;2016-09-21;2016-09-22;48.875133, 2.286885
LE PETIT SPIROU;NICOLAS BARY;BERGES*  DU CANAL DE L'OURCQ;LES FILMS DU CAP;LONG METRAGE;93210;2016-09-22;2016-09-22;
LES EX;MAURICE BARTHELEMY;60  RUE  BOTZARIS;RADAR FILMS;LONG METRAGE;75019;2016-09-22;2016-09-22;48.879386, 2.385319
LE PETIT SPIROU;NICOLAS BARY;37  BOULEVARD  JOURDAN/CITE UNIVERSITAIRE;LES FILMS DU CAP;LONG METRAGE;75014;2016-09-23;2016-09-23;48.820544, 2.33899
LE REDOUTABLE;MICHEL HAZANAVICIUS;63  BOULEVARD  DES BATIGNOLLES;LES COMPAGNONS DU CINEMA;LONG METRAGE;75017;2016-09-26;2016-09-30;48.882435, 2.32123
JUST DIVORCED;MAXIME GOVARE;RUE  DE LA FRATERNITE;LES IMPRODUCTIBLES;LONG METRAGE;75019;2016-09-26;2016-09-26;48.881538, 2.393702
JUST DIVORCED;MAXIME GOVARE;33  AVENUE  SECRETAN;LES IMPRODUCTIBLES;LONG METRAGE;75019;2016-09-26;2016-09-26;48.881383, 2.373733
BURN OUT;YANN GOZLAN;12  RUE  MAGENTA;2425 ING PRODUCTION;LONG METRAGE;93500;2016-09-26;2016-09-26;48.90082, 2.391091
SIMONE BENLOULOU;MYRIAM AZIZA;PLACE  MICHEL PETRUCCIANI;INCOGNITA;LONG METRAGE;75018;2016-09-26;2016-09-26;48.890011, 2.327497
SIMONE BENLOULOU;MYRIAM AZIZA;SQUARE  MAURICE KRIEGEL VALRIMONT;INCOGNITA;LONG METRAGE;75018;2016-09-26;2016-09-26;
BURN OUT;YANN GOZLAN;12  RUE  MAGENTA;2425 ING PRODUCTION;LONG METRAGE;93500;2016-09-27;2016-09-27;48.90082, 2.391091
BITTER FLOWERS;OLIVIER MEYS;SQUARE  LOUISE MICHEL;MILLE ET UNE FILMS;LONG METRAGE;75018;2016-09-27;2016-09-27;
BITTER FLOWERS;OLIVIER MEYS;RUE  AZAIS;MILLE ET UNE FILMS;LONG METRAGE;75018;2016-09-27;2016-09-27;48.886144, 2.341973
